PID,Condition,YearofBirth,Gender,VideoGameUsage,VideoGameFreq,GamingExpertise,LikePlaying,NumberGames,DelayAware,GamesRegularyPlayed,DS,TA,SA,PR,DoF,CQ,IoA,RA,FF,ToI,SAI,TAI,PRI,DoFI,FFI,CQI,IoAI,RAI,ToII,Open
8,23,1997,Male,5,1,4,5,50,4,"skyrim, call of duty, fallout, gta, civilization, overcooked, little big planet, horizon zero dawn, the last of us",2,4,1,2,1,3,3,1,2,3,50,50,45,30,34,60,58,30,45,specifically the relationship between the different aspects and how the play together to create an original gaming experience
8,6,1997,Male,5,1,4,5,50,4,"skyrim, call of duty, fallout, gta, civilization, overcooked, little big planet, horizon zero dawn, the last of us",2,5,4,5,5,2,2,3,3,5,50,50,45,30,34,60,58,30,45,specifically the relationship between the different aspects and how the play together to create an original gaming experience
8,7,1997,Male,5,1,4,5,50,4,"skyrim, call of duty, fallout, gta, civilization, overcooked, little big planet, horizon zero dawn, the last of us",2,4,2,4,3,2,2,2,2,1,50,50,45,30,34,60,58,30,45,specifically the relationship between the different aspects and how the play together to create an original gaming experience
8,22,1997,Male,5,1,4,5,50,4,"skyrim, call of duty, fallout, gta, civilization, overcooked, little big planet, horizon zero dawn, the last of us",1,3,3,2,4,1,2,1,1,5,50,50,45,30,34,60,58,30,45,specifically the relationship between the different aspects and how the play together to create an original gaming experience
8,15,1997,Male,5,1,4,5,50,4,"skyrim, call of duty, fallout, gta, civilization, overcooked, little big planet, horizon zero dawn, the last of us",2,4,2,2,4,3,3,3,1,4,50,50,45,30,34,60,58,30,45,specifically the relationship between the different aspects and how the play together to create an original gaming experience
8,28,1997,Male,5,1,4,5,50,4,"skyrim, call of duty, fallout, gta, civilization, overcooked, little big planet, horizon zero dawn, the last of us",1,2,2,2,2,1,1,1,1,3,50,50,45,30,34,60,58,30,45,specifically the relationship between the different aspects and how the play together to create an original gaming experience
8,12,1997,Male,5,1,4,5,50,4,"skyrim, call of duty, fallout, gta, civilization, overcooked, little big planet, horizon zero dawn, the last of us",2,3,4,2,4,3,3,3,3,5,50,50,45,30,34,60,58,30,45,specifically the relationship between the different aspects and how the play together to create an original gaming experience
8,16,1997,Male,5,1,4,5,50,4,"skyrim, call of duty, fallout, gta, civilization, overcooked, little big planet, horizon zero dawn, the last of us",2,4,2,2,4,3,3,2,1,4,50,50,45,30,34,60,58,30,45,specifically the relationship between the different aspects and how the play together to create an original gaming experience
8,10,1997,Male,5,1,4,5,50,4,"skyrim, call of duty, fallout, gta, civilization, overcooked, little big planet, horizon zero dawn, the last of us",1,3,4,2,4,3,3,2,3,5,50,50,45,30,34,60,58,30,45,specifically the relationship between the different aspects and how the play together to create an original gaming experience
8,30,1997,Male,5,1,4,5,50,4,"skyrim, call of duty, fallout, gta, civilization, overcooked, little big planet, horizon zero dawn, the last of us",2,5,4,5,5,3,3,2,3,5,50,50,45,30,34,60,58,30,45,specifically the relationship between the different aspects and how the play together to create an original gaming experience
8,8,1997,Male,5,1,4,5,50,4,"skyrim, call of duty, fallout, gta, civilization, overcooked, little big planet, horizon zero dawn, the last of us",1,2,2,3,4,2,2,1,3,3,50,50,45,30,34,60,58,30,45,specifically the relationship between the different aspects and how the play together to create an original gaming experience
8,19,1997,Male,5,1,4,5,50,4,"skyrim, call of duty, fallout, gta, civilization, overcooked, little big planet, horizon zero dawn, the last of us",2,4,1,2,2,3,3,2,1,4,50,50,45,30,34,60,58,30,45,specifically the relationship between the different aspects and how the play together to create an original gaming experience
8,26,1997,Male,5,1,4,5,50,4,"skyrim, call of duty, fallout, gta, civilization, overcooked, little big planet, horizon zero dawn, the last of us",2,4,1,2,1,3,3,2,2,3,50,50,45,30,34,60,58,30,45,specifically the relationship between the different aspects and how the play together to create an original gaming experience
8,14,1997,Male,5,1,4,5,50,4,"skyrim, call of duty, fallout, gta, civilization, overcooked, little big planet, horizon zero dawn, the last of us",2,4,3,2,4,3,3,2,1,4,50,50,45,30,34,60,58,30,45,specifically the relationship between the different aspects and how the play together to create an original gaming experience
8,18,1997,Male,5,1,4,5,50,4,"skyrim, call of duty, fallout, gta, civilization, overcooked, little big planet, horizon zero dawn, the last of us",2,4,2,2,2,3,3,2,1,4,50,50,45,30,34,60,58,30,45,specifically the relationship between the different aspects and how the play together to create an original gaming experience
8,24,1997,Male,5,1,4,5,50,4,"skyrim, call of duty, fallout, gta, civilization, overcooked, little big planet, horizon zero dawn, the last of us",2,4,1,2,1,3,3,2,2,3,50,50,45,30,34,60,58,30,45,specifically the relationship between the different aspects and how the play together to create an original gaming experience
8,1,1997,Male,5,1,4,5,50,4,"skyrim, call of duty, fallout, gta, civilization, overcooked, little big planet, horizon zero dawn, the last of us",1,1,1,1,4,1,2,1,2,3,50,50,45,30,34,60,58,30,45,specifically the relationship between the different aspects and how the play together to create an original gaming experience
8,5,1997,Male,5,1,4,5,50,4,"skyrim, call of duty, fallout, gta, civilization, overcooked, little big planet, horizon zero dawn, the last of us",2,4,1,2,1,3,3,2,2,3,50,50,45,30,34,60,58,30,45,specifically the relationship between the different aspects and how the play together to create an original gaming experience
8,27,1997,Male,5,1,4,5,50,4,"skyrim, call of duty, fallout, gta, civilization, overcooked, little big planet, horizon zero dawn, the last of us",2,4,1,2,1,3,3,2,2,3,50,50,45,30,34,60,58,30,45,specifically the relationship between the different aspects and how the play together to create an original gaming experience
8,17,1997,Male,5,1,4,5,50,4,"skyrim, call of duty, fallout, gta, civilization, overcooked, little big planet, horizon zero dawn, the last of us",2,3,2,2,2,2,2,2,1,4,50,50,45,30,34,60,58,30,45,specifically the relationship between the different aspects and how the play together to create an original gaming experience
8,21,1997,Male,5,1,4,5,50,4,"skyrim, call of duty, fallout, gta, civilization, overcooked, little big planet, horizon zero dawn, the last of us",1,3,3,1,4,1,2,2,3,5,50,50,45,30,34,60,58,30,45,specifically the relationship between the different aspects and how the play together to create an original gaming experience
